GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleList,0,3,0,0,0,1,0,1,0,1
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleOperationFactory,0,9,0,0,0,2,0,2,0,2
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,DoneableEntandoComponentBundle,0,31,0,0,0,7,0,3,0,3
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleImageFluent,27,0,0,0,11,0,5,0,5,0
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleBuilder,8,13,0,0,2,3,1,2,1,2
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleSpecFluent.AuthorNested,0,15,0,0,0,5,0,3,0,3
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleAuthorBuilder,7,0,0,0,4,0,2,0,2,0
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleImageBuilder,7,0,0,0,4,0,2,0,2,0
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleAuthor,0,26,0,0,0,12,0,6,0,6
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleFluent.SpecNestedImpl,0,22,0,0,0,8,0,4,0,4
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleSpecFluent,39,187,2,0,7,42,4,18,3,18
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleFluent,0,53,0,0,0,12,0,7,0,7
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleSpecFluent.ImagesNested,0,31,0,0,0,8,0,4,0,4
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleAuthorFluent,11,25,0,0,4,8,1,5,1,5
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleSpecFluent.VersionNested,0,15,0,0,0,5,0,3,0,3
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundle,9,10,0,0,3,4,2,2,2,2
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleVersionFluent,0,60,0,0,0,18,0,8,0,8
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleImage,0,16,0,0,0,8,0,4,0,4
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleVersionBuilder,3,4,0,0,2,2,1,1,1,1
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleVersion,16,30,0,0,8,12,4,6,4,6
Entando Component Bundle K8S Model,org.entando.kubernetes.model.bundle,EntandoComponentBundleSpec,0,104,0,0,0,24,0,11,0,11
Entando Component Bundle K8S Model,org.entando.kubernetes.model,MetadataNestedImpl,2,44,1,1,0,12,1,6,0,6
Entando Component Bundle K8S Model,org.entando.kubernetes.model,EntandoBaseFluent,0,32,0,0,0,8,0,5,0,5
Entando Component Bundle K8S Model,org.entando.kubernetes.model,EntandoBaseCustomResource,7,12,0,0,4,5,2,2,2,2
Entando Component Bundle K8S Model,org.entando.kubernetes.model,EntandoComponentBundleCustomResourceResolver,104,147,13,11,20,37,11,10,1,8
Entando Component Bundle K8S Model,org.entando.kubernetes.model,EntandoResourceOperationsRegistry,0,42,0,0,0,9,0,5,0,5
Entando Component Bundle K8S Model,org.entando.kubernetes.model,Coalescence,4,18,2,2,1,3,2,1,0,1
Entando Component Bundle K8S Model,org.entando.kubernetes.model,SampleWriter,91,0,0,0,19,0,2,0,2,0
