GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Component Manager,org.entando.kubernetes.exception.http,HttpBadRequestException,2,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.exception.http,HttpNotFoundException,2,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.model.bundle,BundleProperty,48,0,0,0,8,0,3,0,3,0
Entando Component Manager,org.entando.kubernetes.model.bundle,ZipReader,307,0,14,0,47,0,24,0,17,0
Entando Component Manager,org.entando.kubernetes.model.bundle,NpmBundleReader,520,0,28,0,91,0,39,0,25,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterOperator,107,0,4,0,15,0,6,0,4,0
Entando Component Manager,org.entando.kubernetes.model.web.request,RestListRequest,3,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterUtils,352,0,48,0,74,0,45,0,17,0
Entando Component Manager,org.entando.kubernetes.model.web.request,Filter,340,0,56,0,14,0,48,0,20,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType,96,0,4,0,14,0,6,0,4,0
Entando Component Manager,org.entando.kubernetes.model.web.request,RequestListProcessor,143,0,28,0,30,0,21,0,7,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},10,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},9,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},11,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},12,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,PagedListRequest,362,0,56,0,33,0,47,0,19,0
Entando Component Manager,org.entando.kubernetes.security.oauth2,OAuthIdpTokenResponseDTO,87,0,0,0,38,0,25,0,25,0
Entando Component Manager,org.entando.kubernetes.security.oauth2,JwtAuthorityExtractor,51,0,2,0,9,0,6,0,5,0
Entando Component Manager,org.entando.kubernetes.security.oauth2,AudienceValidator,42,0,4,0,8,0,4,0,2,0
Entando Component Manager,org.entando.kubernetes.security.oauth2,AuthorizationHeaderUtil,331,0,18,0,76,0,16,0,7,0
Entando Component Manager,org.entando.kubernetes.exception.digitalexchange,DigitalExchangeNotFoundException,5,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.exception.digitalexchange,InvalidBundleException,25,0,0,0,11,0,6,0,6,0
Entando Component Manager,org.entando.kubernetes.model.plugin,EntandoPluginInfo,169,0,30,0,4,0,26,0,11,0
Entando Component Manager,org.entando.kubernetes.service.digitalexchange.entandocore,EntandoDefaultOAuth2RequestAuthenticator,27,0,2,0,6,0,3,0,2,0
Entando Component Manager,org.entando.kubernetes.service.digitalexchange.entandocore,EntandoCoreService,467,0,0,0,49,0,17,0,17,0
Entando Component Manager,org.entando.kubernetes.model.web.exception,NotFoundException,11,0,0,0,4,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.exception,ConflictException,11,0,0,0,4,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.exception,InternalServerException,11,0,0,0,4,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.exception,BadRequestException,20,0,0,0,8,0,4,0,4,0
Entando Component Manager,org.entando.kubernetes.model.web.exception,ValidationErrorResponse,72,0,2,0,19,0,9,0,8,0
Entando Component Manager,org.entando.kubernetes.model.web.exception,ErrorResponse,89,0,14,0,4,0,15,0,8,0
Entando Component Manager,org.entando.kubernetes.model.web.exception,ValidationErrorResponse.ErrorData,91,0,14,0,2,0,14,0,7,0
Entando Component Manager,org.entando.kubernetes.model.web.exception,HttpException,37,0,0,0,14,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.model.web.exception,UnprocessableEntityException,11,0,0,0,4,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,AssetProcessor.DirectoryInstallable,30,0,0,0,9,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,FragmentProcessor,81,0,6,0,17,0,8,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,WidgetProcessor,85,0,8,0,17,0,9,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,PageModelProcessor.PageModelInstallable,33,0,0,0,9,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,CmsProcessor.ContentTypeInstallable,33,0,0,0,9,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,LabelProcessor.LabelInstallable,33,0,0,0,9,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,AssetProcessor.AssetInstallable,45,0,0,0,9,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,FragmentProcessor.FragmentInstallable,33,0,0,0,9,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,PluginProcessor.PluginInstallable,36,0,0,0,10,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,LabelProcessor,65,0,6,0,13,0,8,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,PluginProcessor,71,0,6,0,15,0,8,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,CmsProcessor.ContentModelInstallable,33,0,0,0,9,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,AssetProcessor,121,0,8,0,21,0,9,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,ComponentProcessor,8,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,CmsProcessor,144,0,18,0,29,0,14,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,PageModelProcessor,85,0,8,0,17,0,9,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,WidgetProcessor.WidgetInstallable,33,0,0,0,9,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.service,KubernetesService,161,0,2,0,38,0,15,0,14,0
Entando Component Manager,org.entando.kubernetes.model.bundle.installable,Installable,36,0,0,0,12,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.model.web,ResilientListWrapper,52,0,4,0,13,0,7,0,5,0
Entando Component Manager,org.entando.kubernetes.model.web,ResilientPagedMetadata,41,0,2,0,10,0,6,0,5,0
Entando Component Manager,org.entando.kubernetes.client.k8ssvc,DefaultK8SServiceClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.client.k8ssvc,DefaultK8SServiceClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.client.k8ssvc,DefaultK8SServiceClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.client.k8ssvc,DefaultK8SServiceClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.client.k8ssvc,DefaultK8SServiceClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.client.k8ssvc,DefaultK8SServiceClient,726,0,20,0,132,0,34,0,24,0
Entando Component Manager,org.entando.kubernetes.controller.plugin,PluginController,83,0,0,0,22,0,6,0,6,0
Entando Component Manager,org.entando.kubernetes.exception.k8ssvc,DeploymentNotFoundException,5,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.exception.k8ssvc,BundleNotFoundException,16,0,0,0,5,0,3,0,3,0
Entando Component Manager,org.entando.kubernetes.exception.k8ssvc,K8SServiceClientException,23,0,0,0,10,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.exception.k8ssvc,PluginNotFoundException,5,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.exception.k8ssvc,PluginAlreadyDeployedException,5,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,WidgetDescriptor,38,0,0,0,7,0,11,0,11,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,ComponentSpecDescriptor,341,0,62,0,8,0,50,0,19,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,FragmentDescriptor,24,0,0,0,5,0,7,0,7,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,OgnlValidation,45,0,0,0,8,0,13,0,13,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,LabelDescriptor,26,0,0,0,5,0,6,0,6,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,FileDescriptor,178,0,30,0,5,0,26,0,11,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,ComponentDescriptor,36,0,0,0,6,0,8,0,8,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,ContentTypeValidationRule,157,0,0,0,24,0,45,0,45,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,ContentTypeAttribute,87,0,0,0,14,0,25,0,25,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,ContentModelDescriptor,38,0,0,0,7,0,11,0,11,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,SketchDescriptor,212,0,38,0,5,0,32,0,13,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,ContentTypeDescriptor,31,0,0,0,6,0,9,0,9,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,FrameDescriptor,199,0,34,0,5,0,30,0,13,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,Role,17,0,0,0,4,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,PageModelConfiguration,83,0,14,0,2,0,14,0,7,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,ServiceDescriptor,298,0,54,0,7,0,44,0,17,0
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor,PageModelDescriptor,52,0,0,0,9,0,15,0,15,0
