GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Core: Engine,com.agiletec.aps.system.common.model.dao,SearcherDaoPaginatedResult,9,32,1,1,4,12,3,5,2,5
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeParameter,24,7,0,0,8,3,4,2,4,2
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeManager,513,4,58,0,129,1,46,1,17,1
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeDOM,308,0,28,0,80,0,28,0,14,0
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeListProcessor,26,84,4,7,4,13,7,17,3,12
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetService,415,453,36,14,88,106,33,27,9,26
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetType,611,100,135,9,138,33,81,25,12,22
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype,WidgetTypeDAO,505,0,34,0,130,0,26,0,9,0
Entando Core: Engine,org.entando.entando.web.language,LanguageController,54,44,0,2,11,10,4,5,4,4
Entando Core: Engine,org.entando.entando.web.common.model,SimpleRestResponse,11,7,0,0,4,2,2,1,2,1
Entando Core: Engine,org.entando.entando.web.common.model,RestError,3,23,0,0,1,10,1,5,1,5
Entando Core: Engine,org.entando.entando.web.common.model,RestResponse,31,38,1,1,12,13,6,6,5,6
Entando Core: Engine,org.entando.entando.web.common.model,PagedRestResponse,10,6,0,0,4,2,2,1,2,1
Entando Core: Engine,org.entando.entando.web.common.model,RestListRequest,210,345,51,47,38,79,46,33,6,24
Entando Core: Engine,org.entando.entando.web.common.model,Filter,270,155,42,16,53,46,37,16,8,16
Entando Core: Engine,org.entando.entando.web.common.model,PagedMetadata,173,540,26,44,29,108,29,47,4,37
Entando Core: Engine,org.entando.entando.web.common.model,RestEntityListRequest,120,0,22,0,21,0,17,0,6,0
Entando Core: Engine,org.entando.entando.web.common.model,FilterType.new FilterType() {...},0,9,0,0,0,2,0,2,0,2
Entando Core: Engine,org.entando.entando.web.common.model,FilterType.new FilterType() {...},4,7,0,0,1,1,1,1,1,1
Entando Core: Engine,org.entando.entando.web.common.model,FilterType.new FilterType() {...},5,7,0,0,1,1,1,1,1,1
Entando Core: Engine,org.entando.entando.web.common.model,FilterType.new FilterType() {...},10,7,0,0,2,1,1,1,1,1
Entando Core: Engine,org.entando.entando.web.common.model,ErrorRestResponse,0,24,0,0,0,6,0,3,0,3
Entando Core: Engine,org.entando.entando.web.common.model,DateRange,88,0,14,0,28,0,15,0,8,0
Entando Core: Engine,org.entando.entando.web.common.model,FilterOperator,12,93,1,3,1,13,1,5,0,4
Entando Core: Engine,org.entando.entando.web.common.model,FilterType,38,56,4,0,5,8,4,2,2,2
Entando Core: Engine,com.agiletec.aps.system.services.lang.cache,LangManagerCacheWrapper,169,0,10,0,39,0,17,0,12,0
Entando Core: Engine,org.entando.entando.aps.system.common.entity.model.attribute,EnumeratorMapAttribute,383,0,54,0,87,0,42,0,15,0
Entando Core: Engine,org.entando.entando.aps.system.common.entity.model.attribute,JAXBEnumeratorMapAttribute,10,0,0,0,4,0,3,0,3,0
Entando Core: Engine,org.entando.entando.aps.system.common.entity.model.attribute,JAXBEnumeratorMapValue,17,0,0,0,7,0,5,0,5,0
Entando Core: Engine,org.entando.entando.aps.system.services.pagesettings.model,PageSettingsDto,0,3,0,0,0,2,0,1,0,1
Entando Core: Engine,org.entando.entando.aps.system.services.pagesettings.model,PageSettingsDtoBuilder,82,0,0,0,8,0,5,0,5,0
