GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Kubernetes Service,org.entando.kubernetes.model.namespace,ObservedNamespaces,17,78,3,5,4,17,5,7,2,6
Entando Kubernetes Service,org.entando.kubernetes,EntandoKubernetesJavaApplication,5,3,0,0,2,1,1,1,1,1
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoDeBundleResourceAssembler,80,0,0,0,11,0,3,0,3,0
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,KubernetesNamespaceResourceAssembler,79,0,0,0,9,0,2,0,2,0
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoPluginResourceAssembler,93,0,0,0,12,0,3,0,3,0
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoAppResourceAssembler,103,3,0,0,12,1,2,1,2,1
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoAppPluginLinkResourceAssembler,99,3,0,0,12,1,2,1,2,1
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,JwtAuthorityExtractor,48,3,2,0,8,1,5,1,4,1
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,AuthorizationHeaderUtil,335,0,18,0,77,0,16,0,7,0
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,AudienceValidator,42,0,4,0,8,0,4,0,2,0
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,OAuthIdpTokenResponseDTO,87,0,0,0,38,0,25,0,25,0
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoAppService,0,22,0,0,0,5,0,4,0,4
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoLinkService,77,220,4,0,14,36,10,10,8,10
Entando Kubernetes Service,org.entando.kubernetes.service,KubernetesUtils,0,24,0,2,0,8,0,4,0,3
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoKubernetesResourceCollector,2,90,0,0,0,18,1,12,1,12
Entando Kubernetes Service,org.entando.kubernetes.service,IngressService,0,62,0,0,0,16,0,5,0,5
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoPluginService,7,171,1,3,1,36,1,10,0,9
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoDeBundleService,0,63,0,0,0,11,0,8,0,8
Entando Kubernetes Service,org.entando.kubernetes.model.namespace.provider,StaticNamespaceProvider,0,9,0,0,0,4,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.model.namespace.provider,FileBasedNamespaceProvider,26,49,2,4,6,12,4,4,2,3
Entando Kubernetes Service,org.entando.kubernetes.model.namespace.provider,NamespaceProvider.NamespaceProviderException,0,4,0,0,0,2,0,1,0,1
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoPluginController,216,0,2,0,44,0,15,0,14,0
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoLinksController,243,0,6,0,37,0,19,0,16,0
Entando Kubernetes Service,org.entando.kubernetes.controller,ExceptionController,10,0,0,0,2,0,2,0,2,0
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoAppController,226,0,2,0,45,0,16,0,15,0
Entando Kubernetes Service,org.entando.kubernetes.controller,ApiEntryPointController,70,3,0,0,7,1,1,1,1,1
Entando Kubernetes Service,org.entando.kubernetes.controller,ObservedNamespaceController,122,0,2,0,17,0,6,0,5,0
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoDeBundleController,115,0,0,0,23,0,8,0,8,0
Entando Kubernetes Service,org.entando.kubernetes.exception,NotFoundExceptionFactory,101,0,0,0,18,0,8,0,8,0
Entando Kubernetes Service,org.entando.kubernetes.exception,BadRequestExceptionFactory,80,0,0,0,15,0,6,0,6,0
Entando Kubernetes Service,org.entando.kubernetes.exception,NotObservedNamespaceException,3,6,0,0,1,3,1,1,1,1
