GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Kubernetes Service,org.entando.kubernetes,EntandoKubernetesJavaApplication,5,3,0,0,2,1,1,1,1,1
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoPluginResourceAssembler,0,45,0,0,0,8,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoAppResourceAssembler,0,41,0,0,0,9,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoAppPluginLinkResourceAssembler,0,58,0,0,0,10,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoDeBundleResourceAssembler,0,10,0,0,0,2,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,AudienceValidator,42,0,4,0,8,0,4,0,2,0
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,OAuthIdpTokenResponseDTO,87,0,0,0,37,0,25,0,25,0
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,JwtAuthorityExtractor,48,3,2,0,8,1,5,1,4,1
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,AuthorizationHeaderUtil,322,13,18,0,72,5,15,1,6,1
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoPluginService,12,222,1,1,3,43,2,19,1,19
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoAppService,6,103,0,0,2,20,1,14,1,14
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoLinkService,0,201,0,0,0,33,0,9,0,9
Entando Kubernetes Service,org.entando.kubernetes.service,KubernetesUtils,45,0,4,0,13,0,5,0,3,0
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoDeBundleService,6,150,0,0,2,29,1,18,1,18
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoPluginController,5,120,0,4,1,26,0,9,0,7
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoDeBundleController,4,91,0,0,0,19,1,5,1,5
Entando Kubernetes Service,org.entando.kubernetes.controller,ExceptionController,0,3,0,0,0,1,0,1,0,1
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoAppController,6,232,1,1,1,40,1,12,0,12
Entando Kubernetes Service,org.entando.kubernetes.exception,BadRequestExceptionFactory,0,19,0,0,0,4,0,1,0,1
Entando Kubernetes Service,org.entando.kubernetes.exception,NotFoundExceptionFactory,15,6,0,0,2,2,1,2,1,2
Entando Kubernetes Service,org.entando.kubernetes.config,JwtDecoderConfig,35,0,0,0,8,0,2,0,2,0
Entando Kubernetes Service,org.entando.kubernetes.config,KubernetesConfig,31,0,4,0,7,0,5,0,3,0
Entando Kubernetes Service,org.entando.kubernetes.config,SecurityConfiguration,0,98,0,0,0,37,0,2,0,2
