GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: CMS,org.entando.entando.plugins.jacms.apsadmin.content.bulk,ContentBulkAction,162,0,6,0,43,0,28,0,25,0
Entando Plugin: CMS,org.entando.entando.plugins.jacms.apsadmin.content.bulk,ContentCategoryBulkAction,283,0,22,0,84,0,43,0,32,0
Entando Plugin: CMS,org.entando.entando.plugins.jacms.apsadmin.content.bulk,ContentGroupBulkAction,231,0,12,0,72,0,37,0,31,0
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.content.attribute.manager.util,SymbolicLinkErrorMessenger,232,0,41,0,59,0,32,0,10,0
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.resource.parse,ImageDimensionDOM,12,131,5,7,3,37,5,5,0,4
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.resource.parse,ResourceDOM,207,0,8,0,49,0,18,0,14,0
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.resource.parse,ResourceHandler,40,340,11,41,9,90,14,32,3,17
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.renderer,BaseContentRenderer,138,11,8,0,36,4,9,3,5,3
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.renderer,ContentWrapper,166,0,14,0,42,0,22,0,15,0
Entando Plugin: CMS,com.agiletec.plugins.jacms.aps.system.services.renderer,SystemInfoWrapper,154,0,6,0,48,0,14,0,11,0
Entando Plugin: CMS,org.entando.entando.plugins.jacms.apsadmin.content.executor,PreviewWidgetExecutorAspect,137,10,26,0,29,3,14,2,1,2
Entando Plugin: CMS,org.entando.entando.plugins.jacms.aps.system.services.resource,ResourcesService,1400,7,124,0,312,2,112,2,47,2
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.contentmodel.validator,ContentModelValidator,31,3,2,0,6,1,5,1,4,1
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.tags,ContentInfoTag,217,0,12,0,48,0,19,0,13,0
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.tags,ContentTypeInfoTag,67,0,4,0,14,0,6,0,4,0
Entando Plugin: CMS,com.agiletec.plugins.jacms.apsadmin.tags,ResourceInfoTag,44,0,0,0,10,0,4,0,4,0
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.model,FileAssetDto,153,0,24,0,9,0,22,0,10,0
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.model,ImageAssetDto,162,0,24,0,10,0,23,0,11,0
Entando Plugin: CMS,org.entando.entando.plugins.jacms.web.resource.model,ImageMetadataDto.ImageMetadataDtoBuilder,50,0,0,0,1,0,6,0,6,0
