GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.url,URLManager,310,15,40,0,70,6,31,4,11,4
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.url,PageURL,12,0,0,0,5,0,3,0,3,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoDataByLang,172,0,16,0,36,0,23,0,15,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoData,118,0,12,0,24,0,18,0,12,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoMetaTag,75,0,0,0,21,0,11,0,11,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoPageRequest,60,0,6,0,16,0,10,0,7,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page,SeoPageController,151,71,10,2,30,15,9,7,4,6
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.metatag,MetatagDOM,12,86,0,2,3,23,0,5,0,4
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.metatag,MetatagCatalog,11,42,1,1,3,14,1,5,0,5
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.metatag,Metatag,12,41,0,0,4,13,4,8,4,8
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageService,702,7,22,0,163,2,26,2,15,2
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,PageMetatag,103,75,17,3,32,27,12,13,3,12
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageDAO,47,101,2,6,8,22,2,6,0,4
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageExtraConfigDOM,103,689,16,60,31,163,17,33,2,10
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageMetadata,27,335,30,42,8,80,29,22,1,14
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageDto,16,6,0,0,3,2,2,2,2,2
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.mapping.event,SeoChangedEvent,8,9,0,0,3,4,2,3,2,3
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,CurrentPageTag,354,0,66,0,82,0,39,0,6,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,SeoMetatagsTag,294,0,34,0,69,0,26,0,9,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,SiteMapTag,383,0,40,0,93,0,35,0,15,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,PageInfoTag,239,0,40,0,56,0,24,0,4,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,ContentTag,128,0,18,0,30,0,15,0,6,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,SeoMetatagTag,213,0,26,0,58,0,24,0,11,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,SeoMetatagCatalogTag,73,0,0,0,18,0,6,0,6,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.validator,SeoPageValidator,100,7,20,0,15,2,11,2,1,2
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.init.portdb,FriendlyCode,0,3,0,0,0,1,0,1,0,1
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.mapping,SeoMappingManager,109,378,26,32,22,94,21,25,1,16
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.mapping,SeoMappingDAO,50,239,0,4,14,65,0,14,0,12
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.mapping,FriendlyCodeVO,12,40,0,0,5,18,1,10,1,10
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.mapping,ContentFriendlyCode,0,31,0,0,0,9,0,6,0,6
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.linkresolver,LinkResolverManager,211,0,28,0,53,0,19,0,5,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.util,FriendlyCodeGenerator,3,43,2,2,1,8,3,1,1,1
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.sitemap,SitemapAction,354,0,32,0,78,0,25,0,9,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.mapping.cache,SeoMappingCacheWrapper,26,214,1,13,4,47,2,14,1,8
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.portal,SeoPageAction,57,163,8,14,13,46,8,15,0,12
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.portal,PageActionAspect,107,472,25,39,16,121,21,29,1,17
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.portal,SeoPageSettingsAction,140,0,18,0,33,0,13,0,4,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.portal,PageSettingsActionAspect,98,370,13,41,21,100,13,26,0,12
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.portal,PageSettingsUtils,3,43,7,11,1,12,8,3,1,1
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.portal,SeoPageActionUtils,5,254,1,13,1,48,2,13,1,7
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.controller.control,RequestValidator,338,19,42,0,85,7,26,4,5,4
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.content.widget,ContentViewerHelper,50,0,8,0,11,0,7,0,3,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system,JpseoSystemConstants,3,0,0,0,1,0,1,0,1,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.content.helper,ContentActionHelperAspect,179,40,20,2,33,13,14,6,3,6
