GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.resource,TrashedResourceAction,168,86,11,3,54,24,19,10,13,9
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content.model,ContentVersionDTO,205,73,26,0,16,31,16,21,3,21
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.services.content,ContentVersioningService,365,285,34,6,80,62,20,16,3,13
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.content,ContentVersionsAction,105,0,2,0,28,0,10,0,9,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource,ResourceVersioningController,78,34,0,0,13,7,3,2,3,2
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.services.configuration,VersioningConfigurationService,3,126,0,6,2,35,0,8,0,5
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.configuration.model,VersioningConfigurationDTO,80,24,12,0,10,10,9,7,3,7
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.versioning,VersionAction,663,156,47,3,154,50,40,23,16,22
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.versioning,VersionFinderAction,73,55,0,0,19,21,9,11,9,11
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,FileResourceDTO,37,0,0,0,11,0,6,0,6,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,FileResourceDTO.FileResourceDTOBuilder,146,0,0,0,1,0,14,0,14,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ImageResourceDTO,23,0,0,0,6,0,3,0,3,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ImageVersionDTO,33,0,0,0,14,0,7,0,7,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ResourceDownloadDTO,33,0,0,0,14,0,7,0,7,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ResourceDTO,309,0,26,0,59,0,37,0,24,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.configuration,VersioningConfigurationController,0,37,0,0,0,8,0,3,0,3
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content,ContentVersioningController,34,159,2,6,4,26,1,9,0,6
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.services.resource,ResourcesVersioningService,506,110,29,7,90,27,28,7,13,4
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content.validator,ContentVersioningValidator,64,42,10,6,15,13,9,7,3,5
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content.validator,VersioningValidatorErrorCodes,0,45,0,0,0,7,0,2,0,2
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,IVersioningManager,0,16,0,0,0,1,0,1,0,1
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,VersioningManager,162,353,4,26,40,99,7,40,3,29
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,ContentVersion,0,80,0,0,0,34,0,23,0,23
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,VersioningDAO,130,538,4,30,38,144,5,24,1,11
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.aps.system.init.portdb,TrashedResource,0,3,0,0,0,1,0,1,0,1
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.aps.system.init.portdb,VersionedContent,0,10,0,0,0,3,0,2,0,2
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.resource,TrashedResourceManager,368,271,21,11,90,79,17,25,5,21
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.resource,TrashedResourceDAO,72,362,4,32,19,104,4,23,0,9
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.config,VersioningConfigAction,7,0,0,0,2,0,2,0,2,0
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.servlet,VersioningProtectedResourceProvider,252,19,28,0,61,8,21,5,7,5
