GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.resource,TrashedResourceAction,152,102,11,3,49,29,17,12,11,11
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content.model,ContentVersionDTO,205,73,26,0,16,31,16,21,3,21
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.services.content,ContentVersioningService,316,326,29,11,61,79,18,18,1,15
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.content,ContentVersionsAction,105,0,2,0,28,0,10,0,9,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource,ResourceVersioningController,42,8,0,0,8,2,2,1,2,1
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.services.configuration,VersioningConfigurationService,3,126,0,6,2,35,0,8,0,5
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.configuration.model,VersioningConfigurationDTO,80,24,12,0,10,10,9,7,3,7
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.versioning,VersionAction,565,246,41,9,118,84,37,26,13,25
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.versioning,VersionFinderAction,73,55,0,0,19,21,9,11,9,11
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,FileResourceDTO,37,0,0,0,11,0,6,0,6,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,FileResourceDTO.FileResourceDTOBuilder,146,0,0,0,1,0,14,0,14,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ImageResourceDTO,23,0,0,0,6,0,3,0,3,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ImageVersionDTO,33,0,0,0,14,0,7,0,7,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ResourceDTO,309,0,26,0,59,0,37,0,24,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.configuration,VersioningConfigurationController,0,37,0,0,0,8,0,3,0,3
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content,ContentVersioningController,17,176,1,7,1,29,1,9,0,6
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.services.resource,ResourcesVersioningService,441,8,26,0,82,2,23,1,10,1
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content.validator,ContentVersioningValidator,64,42,10,6,15,13,9,7,3,5
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content.validator,VersioningValidatorErrorCodes,0,45,0,0,0,7,0,2,0,2
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,IVersioningManager,0,16,0,0,0,1,0,1,0,1
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,VersioningManager,148,359,4,26,35,102,4,43,0,32
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,ContentVersion,0,80,0,0,0,34,0,23,0,23
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,VersioningDAO,130,538,4,30,38,144,5,24,1,11
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.aps.system.init.portdb,TrashedResource,0,3,0,0,0,1,0,1,0,1
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.aps.system.init.portdb,VersionedContent,0,10,0,0,0,3,0,2,0,2
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.resource,TrashedResourceManager,234,397,13,19,50,117,11,31,1,25
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.resource,TrashedResourceDAO,72,362,3,33,19,104,3,24,0,9
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.config,VersioningConfigAction,7,0,0,0,2,0,2,0,2,0
