GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Core: Portal UI,com.agiletec.aps.system.services.controller,ControllerManager,83,0,16,0,27,0,18,0,7,0
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.preview.control,PreviewRequestAuthorizator,144,0,18,0,45,0,20,0,11,0
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.preview.control,PreviewRequestValidator,199,0,16,0,58,0,20,0,12,0
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.preview.control,PreviewErrorManager,36,0,4,0,11,0,9,0,7,0
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.executor,WidgetExecutorService,63,0,2,0,19,0,5,0,4,0
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.executor,BufferedHttpResponseWrapper,35,0,0,0,10,0,3,0,3,0
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.executor,PageExecutorService,118,0,4,0,32,0,6,0,4,0
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.executor,ContentNegotiationExecutorService,125,0,18,0,32,0,14,0,5,0
Entando Core: Portal UI,org.entando.entando.aps.system.services.controller.executor,AbstractWidgetExecutorService,630,0,56,0,134,0,40,0,12,0
Entando Core: Portal UI,org.entando.entando.aps.servlet,PreviewControllerServlet,116,0,10,0,30,0,9,0,4,0
Entando Core: Portal UI,org.entando.entando.aps.servlet,XSSFilter,14,0,0,0,5,0,4,0,4,0
Entando Core: Portal UI,org.entando.entando.aps.servlet,XSSRequestWrapper,188,0,8,0,35,0,11,0,7,0
Entando Core: Portal UI,org.entando.entando.aps.servlet,ControllerServlet,283,0,16,0,76,0,18,0,10,0
Entando Core: Portal UI,com.agiletec.aps.system.services.controller.control,ErrorManager,82,0,4,0,25,0,9,0,7,0
Entando Core: Portal UI,com.agiletec.aps.system.services.controller.control,RequestAuthorizator,135,0,10,0,37,0,14,0,9,0
Entando Core: Portal UI,com.agiletec.aps.system.services.controller.control,Authenticator,157,0,20,0,43,0,18,0,8,0
Entando Core: Portal UI,com.agiletec.aps.system.services.controller.control,RequestValidator,318,0,28,0,85,0,30,0,16,0
Entando Core: Portal UI,com.agiletec.aps.system.services.controller.control,AbstractControlService,134,0,10,0,42,0,13,0,8,0
